a,b,n,spread_median,spread_std,robust_sigma,opportunity_share,opportunity_share_oos,adf_stat,adf_p,half_life_is,half_life_oos,theta_is,theta_oos,reversion_yield,p_bh,discovery
FREC_CC1,STRATEGC_RN,14903,-0.029999999999997584,1.051140892844539,0.25204200000000776,0.017254601226993866,0.0029076269290986357,-14.192389977666203,1.8471566649592692e-26,4.557133031500471,3.9283406057502663,0.15210159013763117,0.17644783131720382,0.05530714119114074,6.989640820205875e-25,True
BUFF_GAP_ALL,LGW_UNIT_ALL,14903,0.08999999999999986,4.175834958431951,1.6605120000000013,0.14810199386503067,0.19950794005815253,-14.14775368671862,2.188963328932297e-26,5.905954278940369,6.059063993061574,0.11736412911823421,0.11439839245033392,0.28115896628612674,8.120624741842953e-25,True
CISC_RN,STWF_T1,14903,-0.980000000000004,8.847237193907409,2.631615000000003,0.23495015337423314,0.28651308432118094,-14.069689085747164,2.9554480483314994e-26,7.918885718519365,9.983825228487992,0.08753089831046919,0.06942701466589268,0.3323213762064557,1.0753284052775378e-24,True
CISC_RN,TRENT_TRENT,14903,-0.980000000000004,8.846227376876845,2.639027999999996,0.23514187116564417,0.28651308432118094,-14.063590806221562,3.02611203245518e-26,7.894816730289438,9.983825228487992,0.0877977544305241,0.06942701466589268,0.334273497429654,1.0802648991330567e-24,True
CHISMGRD_RN,DC2SES_ALL,14903,-0.1999999999999993,5.683818223831735,0.5337359999999991,0.09681748466257668,0.12458063073138001,-14.004498687649562,3.8096847053550465e-26,6.107496428709152,10.743158890276966,0.11349121340484275,0.0645198667951634,0.08739030898014077,1.334800641209583e-24,True
PORTSL_UNIT1,TYLRWIND_RN,14903,-0.019999999999999574,9.068833930549705,0.34099800000000063,0.18759585889570551,0.22299261910087229,-13.989956195879978,4.033271742275298e-26,12.07673246815051,8.75018534371822,0.05739525839360564,0.07921514268924114,0.02823594882964421,1.3660188100129737e-24,True
MUENSTER_RN,PORTSL_UNIT1,14903,0.019999999999999574,9.05926648447935,0.34099800000000063,0.18740414110429449,0.22321628271080296,-13.989331070434234,4.043184638516201e-26,12.07190375298631,8.734296447864647,0.05741821627665617,0.07935924601338729,0.028247243100794735,1.3660188100129737e-24,True
GRDNE_ESR_RN,SGM_SIGNALMT,14903,-1.1999999999999993,11.777977544506006,3.706499999999997,0.3334930981595092,0.11719973160366809,-13.978288414144464,4.222548415526012e-26,6.179410652961677,5.002233815680524,0.11217043493099665,0.1385675292480599,0.599814482020796,1.4015897547675815e-24,True
BUFF_GAP_ALL,FTWIND_UNIT1,14903,0.259999999999998,2.6580682434213623,1.2157320000000003,0.07965874233128835,0.06866472824871393,-13.93977399274087,4.9158910677748417e-26,8.029543597618886,5.870737454663415,0.0863246051451161,0.11806816194945739,0.15140736023408832,1.5674845474321859e-24,True
AMISTAD_ALL,HAMI_BESS_RN,14903,0.0,0.2950237195201553,0.0,0.0,0.0,-13.938728353628129,4.936292548587665e-26,1.4845334262915404,1.3172630183595406,0.4669124778762789,0.526202566153538,0.0,1.5674845474321859e-24,True
BLSMT1_5_A_6,TRUSGILL_RN,14903,0.019999999999999574,0.7302392727936692,0.34099800000000063,0.0,0.0,-13.932795647167275,5.0537292491206836e-26,7.106698089598435,7.264137980120678,0.09753435024550362,0.09542043150293109,0.04798262086004399,1.5674845474321859e-24,True
BLSMT1_5_A_6,VERAWIND_ALL,14903,0.019999999999999574,0.7302392727936692,0.34099800000000063,0.0,0.0,-13.932795647167275,5.0537292491206836e-26,7.106698089598435,7.264137980120678,0.09753435024550362,0.09542043150293109,0.04798262086004399,1.5674845474321859e-24,True
FTWIND_UNIT1,PRID_RN,14903,-0.08999999999999986,3.943949561898454,1.0304070000000003,0.07064800613496933,0.16685305300827555,-13.911696740108408,5.495526949763725e-26,10.021098848045291,13.88243592573416,0.06916877989833921,0.04992979504951605,0.10282375372447213,1.6216615611342673e-24,True
INKS_INKS_G1,WIR_WIRTZ_G1,14903,-0.060000000000002274,3.426373476583004,0.41512800000000166,0.07534509202453987,0.0713486915678819,-13.904585225659023,5.653357386777104e-26,2.86211959516531,3.233138529521707,0.24217967052488265,0.21438833326528872,0.1450421571136425,1.6216615611342673e-24,True
